Asignatura,Clave,Semestre,Créditos,División,Departamento,Optativa,Horas teóricas,Horas prácticas,Seriación anterior
Álgebra,1120,1,8,Ciencias básicas,Coordinación de matemáticas,0,4,0,0
Cálculo y geometría analítica,1121,1,12,Ciencias básicas,Coordinación de matemáticas,0,6,0,0
Redacción y exposición de temas de ingeniería,1124,1,6,Ciencias sociales y humanidades,Asignaturas sociohumanísticas,0,2,2,0
Química,1123,1,10,Ciencias básicas,Coordinación de física y química,0,4,2,0
Fundamentos de programación,1122,1,10,Ingeniería eléctrica,Ingeniería en computación,0,4,2,0
Igualdad de género en ingeniería,8000,1,0,Ciencias sociales y humanidades,Asignaturas sociohumanísticas,0,2,0,0
Álgebra lineal,1220,2,8,Ciencias básicas,Coordinación de matemáticas,0,4,0,1
Cálculo integral,1221,2,8,Ciencias básicas,Coordinación de matemáticas,0,4,0,1
Física experimental,2211,2,10,Ciencias básicas,Coordinación de física y química,0,4,2,0
Estática,1223,2,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Dibujo mecánico e industrial,1209,2,6,Ingeniería mecánica e industrial,Ingeniería de diseño y manufactura,0,2,2,0
Probabilidad,1436,3,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Cálculo vectorial,1321,3,8,Ciencias básicas,Coordinación de matemáticas,0,4,0,1
Ecuaciones diferenciales,1325,3,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Cinemática y dinámica,1322,3,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Manufactura I,1225,3,8,Ingeniería mecánica e industrial,Ingeniería de diseño y manufactura,0,2,4,0
Cultura y comunicación,1222,3,2,Ciencias sociales y humanidades,Asignaturas sociohumanísticas,0,0,2,0
Estadística,1569,4,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Matemáticas avanzadas,1424,4,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,0
Electricidad y magnetismo,1414,4,10,Ciencias básicas,Coordinación de física y química,0,4,2,1
Análisis numérico,1433,4,8,Ciencias básicas,Coordinación de ciencias aplicadas,0,4,0,1
Termodinámica,1437,4,10,Ciencias básicas,Coordinación de física y química,0,4,2,0
Taller sociohumanístico,,4,2,,,1,0,2,0
Análisis de circuitos,1550,5,10,Ingeniería mecánica e industrial,Ingeniería mecatrónica,0,4,2,0
Termofluidos,1409,5,10,Ingeniería mecánica e industrial,Termofluidos,0,4,2,1
Ingeniería de materiales,1570,5,10,Ingeniería mecánica e industrial,Ingeniería de diseño y manufactura,0,4,2,0
Mecánica de sólidos,1540,5,8,Ingeniería mecánica e industrial,Ingeniería de diseño y manufactura,0,4,0,0
Técnicas de programación,1472,5,10,Ingeniería mecánica e industrial,Ingeniería mecatrónica,0,4,2,0
Electrónica básica,1691,6,10,Ingeniería mecánica e industrial,Ingeniería mecatrónica,0,4,2,1
